category_name,description
"Одежда, обувь, аксессуары","ИМЕЮТСЯ ПОДАРКИ ,КОЖЕННАЯ КУРТОЧКА БАРДО,  И ВЕЩИ РАЗНЫЕ ,ТОЧНО. БУДИТЕ ДОВОЛЬНЫ"
"Одежда, обувь, аксессуары",Продам БРЮКИ SKILLS CHINO. Размер М. Новые с бирками. Куплены в официальном магазине 21SHOP Оригинал. Не подошел размер. 800р
Мебель и интерьер,"Продам кровать. Новая, каркасная, цвет светлый дуб, имеются 6 внурненних отсеков (фото чуть позже)"
"Одежда, обувь, аксессуары",Новое пальто.в идеальном состоянии.не драп!крупная вязка.мягкое.
Предложение услуг,LADA Granta 2017 г.в. Сдаётся на длительный срок. 1000 р. сутки. Подробные условия по телефону.
Бытовая техника,В рабочем состоянии.Пользовались мало.Продаем в связи с переездом в другой город.Покупалась за 11 900р.Смотреть в Амуре.Торг.
Предложение услуг,"Продам сертификат на свадебное платье номиналом 5000 руб. в свадебный салон CHIEDO BIANCO, Пушкина 66.Сертификат  не является именным и распространяется только на свадебные платья.По причине того, что сама уже купила платье в другом салоне, буду рада помочь другим невестам🤗🌷/
Цена продажи сертификата договорная!"
"Одежда, обувь, аксессуары","Продам недорого сапоги, зимние,замшевые на шпильке,смотрятся красиво,нахожусь на Затулинке.(мех нат.)"
"Одежда, обувь, аксессуары","Платье новое, в упаковке, размер подойдёт как на 42-44, так и на 44-46, пишите в ватсап)"
Детская одежда и обувь,"Продам кроссовки фирмы Nike, размер 37- 37,5. Практически новые, в идеальном состоянии. Кроссовки очень удобные. Можно использовать как в повседневной носке, так и для занятий спортом."
Квартиры,"Срочно продается современная двухкомнатная квартира. /
Сделан хороший ремонт! Просторная прихожая, хорошая кухня, лоджии утеплена и с ремонтом, теплый пол, сплит-система. Рядом много детских садов и школ, детских площадок! Все практически новое! В ванной хорошая плитка! Смотрите фото! Звоните! /
/
#объект в нашей базе №422251#"
Телефоны,"Смартфон бомба,не глючит,не лагает и вряд ли когда нибудь начнет,купил 4 месяца назад?,отдам вместе с силиконовой накладкой,продаю т.к подарили айфон 6."
Автомобили,"Группа компаний «БАШАВТОКОМ» – лидер на автомобильном рынке Республики Башкортостан представляет автомобиль с пробегом: RENAULT SANDERO STEPWAY/
/
Комплектация:/
 /
Сервисная книжка с отметками о пройденных ТО у ОД,Управление климатом Кондиционер Усилитель руля Гидро- СалонТкань Руль кожанный Обогрев Пердних сиденей Заднего стекла Электростеклоподъемники передние и задние Помощь при вождении Бортовой компьютер Противоугонная система Центральный замок, Иммобилайзер Сигнализация с Автозапуском Подушки безопасности Фронтальные и Боковые Активная безопасность Антиблокировка тормозов Мультимедиа и навигация MP3, Радио, USB, AUX летний комплект колёс.Противотуманные фары/
/
Произведена предпродажная диагностика ДВС, МКПП и ходовой. Обмен авто по системе Trade-In. Программы кредитования напрямую от автопроизводителей, ОДОБРЕНИЕ В ТЕЧЕНИИ 1 ЧАСА. Приглашаем Вас на ТЕСТ-ДРАЙВ."
Товары для детей и игрушки,Коляска Marita зима-лето.Состояние нормальное.
Автомобили,"В наличии, Новая с ПТС, Без пробега: ""Lada Kalina"" 2017 г., от официального дилера! /
-Скидка на автомобиль от цены прайс-листа - 20 000 рублей! /
- Скидка предоставляется даже если у вас нет автомобиля для участия в программе ""Утилизация"" или ""Trade-in"". /
- Так же возможен обмен на ваш автомобиль по программе ""Trade-in""! /
- Принимаем автомобили по программе ""Утилизация"", все заботы связанные с программой берем на себя (подготовка документов, справки из ГИБДД, доукомплектация автомобиля для утилизатора и т.д.)! /
-Lada Kalina 1,6 л. 8-кл., 5МТ, 87 л.с. - от 419 900 руб. вместо 439 900 руб./
- Автомобиль на Гарантии."
Автомобили,2113 в хорошем состояние породам обменяю
Детская одежда и обувь,"Продам зимний комбенизон Huppa на девочку. Размер 92. Очень теплый. Относили одну зиму. Немного потерты коленки, но почти не видно. Очень яркий. Капюшон ввиде колпачка гномика."
Квартиры,Сдам порядочной семье квартиру в центральном районе города на длительный срок.Оплата ежемесячно 13 т.р. плюс коммунальные платежи.Услуги риелтора 50%.
Мебель и интерьер,Новый! Обивка и габариты разные!
Детская одежда и обувь,"Джинсовый комбинезон MANGO. Маркировка 11-12 лет, рост 152. Совершенно новый, качественный."
Товары для детей и игрушки,"Надувной горшок, НОВЫЙ /
Изделие имеет следующие параметры: /
высота – 14,5 см /
ширина бортика - 4 см /
глубина – 24 см /
ширина – 30 см"
Товары для детей и игрушки,"Продам трехколесный велосипед на надувных колесах в отличном состоянии. Смотреть и забирать в районе ТРЦ Карнавал, ул.Опалихинская"
Телефоны,"Треснуло стекло. В рабочем состоянии. Две сим , флешка. В рабочем состоянии."
Детская одежда и обувь,Продам весенний костюм в отличном состоянии.
Телефоны,"UMI Rome X/
ПроцессорMT6580  3D ускорительMali 400MP  Операционная системаAndroid 5.1  Оперативная память1Гб  Внутренняя память8Гб  Слоты расширенияMicroSD, поддержка карт до 32Гб  Экран5.5 дюймов, разрешение 1280x720 пикселей  Сеть3G  Частоты2G (GSM): 850 / 900 / 1800 / 1900 MHz 3G (WCDMA): 850 / 900 / 2100 MHz  Количество СИМ карт1 слот: microSIM, 2 слот: microSIM  Беспроводные интерфейсыWIFI (802.11 b/g/n), Bluetooth  НавигацияGPS, A-GPS, GLONAS  КамерыПередняя 2Мп . Задняя 13Мп . Автофокус  ЗвукВстроенные динамики, микрофон  Емкость аккумулятора2500мАч  Габариты153.8x77x7.9мм  Вес177,0 гр."
Ремонт и строительство,"Натяжные потолки ""Золотые узоры"" арт-печать/
 /
Широкий ассортимент натяжных потолков и услуг по их установке, монтажу и сервисному обслуживанию./
/
-широкая цветовая палитра и разнообразная структура поверхности потолка: глянцевые, сатиновые, матовые, эксклюзивные полотна, нанесение фотопечати, разнообразные комбинации полотна./
/
-многоуровневые системы натяжных потолков/
/
-конфигурации потолка любой формы и сложности по вашему желанию/
/
-монтаж встроенных светильников, галогенных ламп, люстр, цветочниц и пр./
/
-использование только проверенных временем, высококачественных материалов от лучших производителей/
/
-наличный и безналичный расчёт/
/
-предварительная консультация, выезд на район и замер вашего потолка бесплатно/
/
-профессиональное решение всех вопросов, связанных с нашей деятельностью и индивидуальный подход к каждому клиенту/
/
Если вы цените высокое качество и современные технологии, грамотно распоряжаетесь финансами, то выбор натяжных потолков «МК» — разумное решение./
/
Получить более полную информацию и ответы на интересующие Вас вопросы Вы сможете позвонив нам./
/
Мы будем очень рады помочь Вам ВЫБРАТЬ ЛУЧШЕЕ и сделать Ваш потолок поистине КОРОЛЕВСКИМ!"
Детская одежда и обувь,Ботиночки Zara в идеальном состоянии.  Обували 3 раза. Покупались за 4500.
Ремонт и строительство,"Полотенцесушитель б/у советский : отличное  состояние, нержавеющая сталь, габаритные размеры 530*520*90 мм, присоединение - штуцер Ду 15мм или штуцер Ду 32мм (без пререходника)"
Автомобили,"На автомобиле установлено ГБО с документами. Кузов не гнилой, по электрике проблем нет. По лакокрасочному покрытию есть косячки само-собой (авто как-никак 30 лет), но в общем и целом, на мой взгляд, лучше чем таз за те же деньги. /
    Авто на 14"" литье (есть штампы, тоже 14), резина и зима (гвозди, 1 сезон) и лето (новая, только купил). Все вопросы по телефону."
Предложение услуг,"Сборщик мебели , собираю и разбираю корпусную мебель в краснодаре (прохожие, шкафы,купе,детские,спальни,комоды,кровати,стеллажи, офисную и гостиничную мебель любого объема )Стоимость сборки  10% от стоимости мебели .Собираю быстро и качественно так как без перекуров и большим опытом работы ."
"Одежда, обувь, аксессуары","Женское пальто, цвет серый, длина - ниже колена, рукав расклешен, практически не носилось."
Автомобили,Продаю ВАЗ 2114 2009 г. в. Хорошее тех.состояние. Люкс. Компьютер. Стеклоподъемники. Подогрев сидений. Центральный замок . Музыка. Все работает. Литые диски. Не битая. Железо родное. Коррозии нет! Экономичная по бензину. 5-6 литров на 100 км. Эксклюзивный салон. Машинка бодрая! !!
Товары для детей и игрушки,"В наличии в Кемерово! Все игрушки новые, в коробочках. /
Вспыш машинка 250руб/
Робокары Поли, Рой, Эмбер, Хелли 350руб/
Марк и Баки 400руб/
Поли и Рой сюжетные игровые наборы с аксессуарами 550руб/
Щенячий патруль: /
без машинок все герои 300руб/
с машинками 750руб - машинки инерционные с музыкой и светом/
Райдер на квадроцикле 900руб (музыка,подсветка, инерционный)"
Детская одежда и обувь,Продам новый флисовый комбинезон на девочку 12m.
Предложение услуг,"маникюр 200р./
маникюр+гель лак = 500р./
ул.свобода 168"
Ремонт и строительство,"Применяется в качестве теплоносителя в автономных системах отопления и хладогена в системах кондиционирования,с целью исключения размораживания тепло систем,разрыва труб и радиаторов при низких температурах до -30°С,а также для предотвращения коррозии."
Товары для детей и игрушки,ванночка для купания на присосках
Телефоны,"Продам абсолютно новые ОРИГИНАЛЬНЫЕ Xiaomi Redmi 4 pro ОЗУ - 3гб /
Встроенная память - 32гб/
Прошивка глобальная./
-=Общие характеристики=-/
Версия ОС - Android 6.0/
Тип корпуса - классический/
Материал корпуса - металл/
Управление - сенсорные кнопки/
Тип SIM-карты - micro SIM+nano SIM/
Количество SIM-карт - 2/
Режим работы нескольких SIM-карт - попеременный/
Вес - 156 г/
Размеры (ШxВxТ) - 69.6x141.3x8.9 мм/
/
-=Экран=-/
Тип экрана - цветной IPS, 16.78 млн цветов, сенсорный/
Тип сенсорного экрана - мультитач, емкостный/
Диагональ - 5 дюйм./
Размер изображения - 1920x1080/
Число пикселей на дюйм (PPI) - 441/
Автоматический поворот экрана - есть/
/
-=Мультимедийные возможности=-/
Фотокамера - 13 млн пикс., светодиодная вспышка/
Функции камеры - автофокус, оптическая стабилизация/
Диафрагма - F/2.2/
Макс. разрешение видео - 1920x1080/
Макс. частота кадров видео - 30 кадров/с/
Geo Tagging - есть/
Фронтальная камера - 5 млн пикс./
Аудио - MP3, AAC, WAV, WMA/
Разъем для наушников - 3.5 мм/
/
-=Связь=-/
Стандарт - GSM 900/1800/1900, 3G, 4G LTE, LTE-A Cat. 4/
Поддержка диапазонов LTE - 850, 900, 1800, 2100, 2600 МГц/
Интерфейсы - Wi-Fi 802.11n, Bluetooth 4.1, IRDA, USB/
Спутниковая навигация - GPS/ГЛОНАСС/BeiDou/
Cистема A-GPS - есть/
/
-=Память и процессор=-/
Процессор - Qualcomm Snapdragon 625 MSM8953/
Количество ядер процессора - 8/
Видеопроцессор - Adreno 506/
Объем встроенной памяти - 32 Гб/
Объем оперативной памяти - 3 Гб/
Слот для карт памяти - есть (совмещен со слотом для второй SIM-карты)/
/
-=Питание=-/
Тип аккумулятора - Li-polymer/
Емкость аккумулятора - 4100 мА⋅ч/
Тип разъема для зарядки - micro-USB/
/
-=Другие функции=-/
Громкая связь (встроенный динамик) - есть/
Управление голосовой набор, голосовое управление/
Режим полета - есть/
Датчики освещенности, приближения, гироскоп, компас, считывание отпечатка пальца/
Фонарик - есть/
USB-host - есть"
Детская одежда и обувь,Ветровка с отстегивающим капюшоном. Состояние отличное. р.122
Ремонт и строительство,"Пильная цепь Oregon 59AC064E подходит на следующие модели пил: МП-5 Урал-2Т Электрон, Дружба, Тайга, Парма (Инкар)/
Аналог МИ-10,26 У-16 Стронг./
Число звеньев	64 звена/
Шаг цепи	.404""/
Ширина паза	1,6мм"
"Одежда, обувь, аксессуары","Под заказ любая спортивная одежда и обувь с сайта Puma. Со скидкой 35% от цены на официальном сайте. Кроссовки, спортивные костюмы, шорты, футболки, сумки и т. д"
Автомобили,"Продам а/м Ока,торг"
"Одежда, обувь, аксессуары","1.Куртка покупалась в ""Твоё"".Продаю её за ненадобностью.Висит в шкафу.Состояние на 5+.Размер 42-46./
2.Жилетка(Болоневая).Надевала раз.Удобная.Размер:42-44./
3.Кардиган тёплый,новый.Размер:42-46./
Цены на фото.По всем вопросам по телефону.Так же доступен WhatsApp."
Ремонт и строительство,"Хорошее состояние как внешние так и работоспособность,/
 /
Покупка в магазинах «Комиссионычъ» возможна за наличный, /
 /
безналичный расчет и в обмен на вашу технику. /
 /
Наши гарантии продавца подтвердит чек и гарантийный талон с печатью. /
 /
Специальные условия на продление гарантии- все риски возьмем на себя! /
 /
Всегда готовы отправить приобретенный товар в любой регион России./
 /
Наш адрес: Мельникайте 75, комиссионый магазин КомиссионычЪ."
Детская одежда и обувь,"На слякоть, б/у, первые шажочки, на шнурках, кожаные"
"Одежда, обувь, аксессуары","Продам фату, длина 1,5 метра/
Очень красивая!!! С нежным кружевом/
была в использовании 1,5 часа"
Автомобили,"ВАЗ21102 в хорошем состоянии. Двигатель после капиталки, прошёл 1500км. Подвеска вся новая по кругу. Замена всех стоек, опорников, всех резинок и т.д."
Товары для детей и игрушки,"Матрасик-кокон Cocoonababy предназначен для младенцев от рождения до 4-месячного возраста и часто используется при недоношенности или малом весе ребенка. Поза малыша, пребывающего в Cocoonababy, напоминает внутриутробную – кроха лежит на спинке, его позвоночник и плечи немного округлены, голова слегка приподнята, положение рук позволяет дотрагиваться до лица или хватать разные предметы. Это способствует правильному психомоторному развитию младенца и более спокойному состоянию крохи."
Детская одежда и обувь,"Детские кожаные ботинки в отличном состоянии. Звоните в любое время, привезём сами"
Предложение услуг,"Электрический тёплый пол./
Водный тёплый пол./
Полистиролом тёплый пол./
Монтаж.Стяжка.Подключение.Отделка"
Товары для детей и игрушки,"Есть дефекты, которые устранены, но каркас коляска не складывается. Подробности по телефону./
Торг."
Детская одежда и обувь,Продам новый комбез с шапочкой за 250оуб
"Одежда, обувь, аксессуары","Покупал у официалов в тц столица. Продаю по символической цене, в самом магазине цены космические./
Проносил два месяца. Состояние новой."
Детская одежда и обувь,"Размер 122, состояние отличное, одеты несколько раз зимой в машину. Переросли к сожалению"
Детская одежда и обувь,Продам ползунки с кофточкой р.62
Детская одежда и обувь,"Демисезонное пальто для девочки,рост 140 см.В очень хорошем состоянии."
Детская одежда и обувь,"рост 116, отличное состояние."
Квартиры,"Продам 2-х комн. квартиру:/
+престижный район-Ю-1;/
+в отличном состоянии с качественной отделкой из дорогих материалов;/
+дом 2007года, застройщик Талан;/
+имеется консьерж;/
+развитая инфраструктура; школы,  детские сады , магазины, ....-рядом;/
+1 взрослый собственник, ЧИСТАЯ ПРОДАЖА."
Детская одежда и обувь,"Продам новую куртку для девочки, 86 размер 1-2 года"
"Одежда, обувь, аксессуары","Продам сапоги осенние новые натуральная кожа, подклад- байка, идут в размер, на ноге очень стильно смотрятся, полнота регулируется ремешком/
Причина продажи- заказывала через интернет, мне большие, полностью соответствуют фото"
"Одежда, обувь, аксессуары","продаю секонд хенд оптом 250 руб. без выборки или 350 руб/кг. с возможностью выбирать товар. вешала, вешалки, зеркала и т.п. в связи с закрытием магазина."
Предложение услуг,Цена договорная
Детская одежда и обувь,Продам куртку на девочку примерно на пол годика
Детская одежда и обувь,Куртка зимняя б/у.
"Одежда, обувь, аксессуары","Демисезонные, нат. кожа италия super style, как новые"
Ремонт и строительство,"продаю зажимы клиновые для подвеса СИП, ВОЛС и пр./
есть 7шт."
"Одежда, обувь, аксессуары","Полуботинки кожаные демисезонные,б/у 1 сезон,р-р 41-41,5,длина по стельке около 27 см,хорошая кожа, толстая, ортопедическая стелька-очень удобная для ног/массаж/.Обувь на фото без косметики-нет дефектов."
Товары для детей и игрушки,"Продам каши умница. 7 пачек старого образца , 5 пачек нового. Писать тут в сообщения"
Предложение услуг,"Ремонт КПП, редукторов, ходовой грузовых авто, микроавтобусов. Зарубежного и отечественного производства."
Телефоны,"— комплект из базы и трубки/
— стандарт DECT/
— определитель номеров (АОН/Caller ID)/
— аккумуляторы: AAAx2/
— монохромный дисплей на трубке"
"Одежда, обувь, аксессуары","Новые,ни разу не одеты!Устойчивый наборный каблук,причина продажи - слишком высокий каблук,ноги болят("
Товары для детей и игрушки,"ЦЕНА 6500 Р ТОРГ !!! НОВЫЙ !Выглядит эта игрушка как настоящая серьезная техника, с помощью которой Ваш ребенок может играть и чувствовать себя взрослым и важным работником. А ""на работу"" он может пока устроится к своим родителям. Это замечательный шанс помочь вам во дворе дома или на даче. Давайте задания своим детям и Вы будете приятно удивлены с какой ответственностью они подходят к выполнению домашних обязанностей. Удобный маневренный трактор на педалях изготовлен из прочного пластика. Все детали выполнены из качественной пластмассы. Движется трактор с помощью педалей за счет  прочной системы цепного привода, развивая мышцы ног ребенка и координацию движений. Большие широкие колеса  c глубоким протектором позволяют трактору передвигаться по любой поверхности дороги–  асфальту, лужам, грунту, камням, песку и траве. У трактора – 4 колеса :2  больших задних и 2 передних поменьше. Широкое и высокое сиденье со спинкой придают этому трактору особую значимость. Руль легко поворачивается, что обеспечивает простоту в управлении, оснащен клаксоном. Эта игрушечная модель так близка к оригинальному трактору. Ваш ребенок будет горд своим транспортом, а Вы будете гордиться своим помощником. Кроме пользы от физических нагрузок, этот серьезный транспорт способен решать серьезные воспитательные задачи, развивает много хороших качеств: внимательность, ответственность и желание помогать родным. Педальные машинки и трактора, в отличие от электрических, развивают и укрепляют ребенка физически, воспитывают характер и умение преодолевать и внешние трудности и собственную лень./
/
Рекомендуется для детей от 3 до 7 лет. /
/
Максимальная нагрузка-50 кг./
/
Размер изделия: 82х50х70х43 см/
/
Вес изделия: 7 кг/
/
Размер коробки: 85х55х80 см/
/
Вес коробки: 7,5 кг/
/
Объём: 0,374 м3"
"Одежда, обувь, аксессуары","Пиджак черный катон (promod), без подклада, р-46-48, приталенный./
Длинна по спинке -60 см., длинна рукава -60 см., объем в груди- 96 см. Почти новый."
Ремонт и строительство,"дверь изготовлена саморучно толщиной 5мм, два замка, ключи прилагаются. Коробка(тоже с пятёрки) соответственно, дверь окрашена. Самовывоз. Торг"
"Одежда, обувь, аксессуары",МОДНАЯ СУМКА ОЧЕНЬ ХОРОШЕГО КАЧЕСТВА. ЗАМКИ ПО БОКАМ РАССТЕГИВАЮТСЯ.ДЕЛАЕТСЯ БОЛЬШЕ..В ОТЛИЧНОМ СОСТОЯНИИ. Н Е Д О Р О Г О
Детская одежда и обувь,"Каждая мамочка мечтает, чтобы ее Малышка была настоящей принцессой с самого рождения. Наши наборы - это хороший выбор и для торжественной выписки из роддома и для проведения Таинства Крещения! /
/
Цены от 1150 р. до 1690 руб."
"Одежда, обувь, аксессуары","Куртка демисезонная в отличном состоянии, мех натуральный, покупала в одном из бутиков ТЦ Мир."
"Одежда, обувь, аксессуары","Платье свадебное ,цвет шампань"
"Одежда, обувь, аксессуары",Платье зеленого цвета с красными вставками. В отличном состоянии.
Детская одежда и обувь,"""Tokka Tribe"" - один из брендов финского производителя ""Luhta"". Изготовлен из материалов, которые удерживают тепло, и отталкивают влагу. Я всегда была уверена, что ребенку тепло, но он никогда не вспотеет. Утепленные куртка + брюки на регулируемых лямках+варежки непромокаемые. Все  в хорошем состоянии. Съемный капюшон. Талия брюк на резинке. Варежки с помощью кнопок крепятся на рукаве куртки. Есть светоотражающие элементы на куртке и штанишках (правда небольшие). Вещи не ремонтировались и в ремонте не нуждаются. Варежки в подарок. /
P.S. Брюки темно синие как фон куртки почему-то на фото получились серые."
"Одежда, обувь, аксессуары",Продаю унты-монголки. Размер 39. Натуральная кожа и натуральная овчина.
Детская одежда и обувь,"Продаю оригинальный костюм Adidas для девочки, маркировка 92+6. В целом в идеальном состоянии, за исключением нюанса сзади ( видно на фото). В глаза не бросается, под кофтой не видно. Отправлю почтой."
Предложение услуг,"Строим дома, бани из бруса, заливаем фундаменты. Любые сварочные работы. Кроля любой сложности. Недорого."
Предложение услуг,установка дверей - от 1500 р.; гарантия - 1 год; замер - бесплатно
Детская одежда и обувь,босоножки в хорошем состоянии
"Одежда, обувь, аксессуары",Удобные женские туфли. Очень удобные для весны. Просто размер не подошел.
Детская одежда и обувь,"штаны теплые в идеале 150/
джинсы 150"
"Одежда, обувь, аксессуары","Продается мужская куртка в отличном состоянии,размер указан 52,но маломерит на размер.Возможно подойдет даже и на 48.Нефтяники."
Телефоны,Упал в воду. Не включается.
Автомобили,"В отличном состоянии,в родной краске,не бит и не крашен,родной птс я второй хозяин,два комплекта колес, вложении не требует,родной пробег 58 т Первый круг!!!"
Квартиры,"Однокомнатная квартира  с хорошим видом и евроремонтом в новом доме. Закрытая территория, детская спортивная площадка, все коммуникации центральные , центральное отопление с теплосчетчиком, свет двухтарифный счетчик. К морю 800 метров, в районе есть все для проживания (школа, садик, магазины, аптека, рынки). Остановка общественного транспорта напротив дома. Возможна ипотека. Звоните."
Детская одежда и обувь,Подойдёт и мальчикам
Квартиры,"НЕ АГЕНТСТВО!!! КУПЛЮ 2 -х или 3-х комн. квартиру,предпочтительны ул. Шатило, Кочубея, Транзитная, Спортивная, р-н Белая Ромашка, Квартал, желательно без ремонта!"
"Одежда, обувь, аксессуары","Состояние: идеальное(новые)./
Покупались в Испании. Брюки очень удобные, из очень мягкого материала."
"Одежда, обувь, аксессуары","Продам элегантные черные туфли 40рр/
Абсолютно новые/
Материал - кожа"
Детская одежда и обувь,Костюм для ляли 56 рост. Привезли в подарок из Венгрии. Не одели ни разу. 100% акрил.
Детская одежда и обувь,"Белая, на синтепоне, б\у в хорошем состоянии, на 5 лет."
Ремонт и строительство,Новые. В наличии 9 штук
Ремонт и строительство,"Продаю двусторонний металлический штакетник  по цене одностороннего.  Такой забор прослужит Вам значительно дольше чем деревянный штакетник. Его не надо красить каждый год, защитное полимерное покрытие с двух сторон защищает металл от коррозии. Цена за м/п планки 59 руб."
Мебель и интерьер,"Кровать 80×180, 2 ящика под бельё или игрушки, матрац в комплекте."
"Одежда, обувь, аксессуары","Продам новый бюстгальтер - липучку. Без лямок, клеится на грудь. Идеально под летние топы и сарафаны. На маленькую грудь!! Не б/у!! Покупала за 1500."
Товары для детей и игрушки,"продам детский велосипед, состояние - новый"
Товары для детей и игрушки,"Качель покупалась новой и использовалась 6 месяцев,  есть коробка. Качель без следов износа, состояние новой./
Качели Capella TY-002B предназначены для укачивания и развлечения ребенка с первых дней его жизни. Анатомическая форма кресла поддерживает горизонтальное положение тела малыша и может изменять наклон спинки по мере его роста и развития. Для детей старше 3-х месяцев кресло превращается в удобное сидение. Мягкие ремни из текстиля и подголовник обеспечивают комфорт и полную безопасность младенца./
/
Качели выполнены на прочном каркасе из легкого, но прочного металла. Резиновые накладки на ножках обеспечивают устойчивость конструкции на любых, даже неровных, поверхностях: грунте, бетонной плитке. Для работы электроблока используются 4 батарейки 1,5 вольт (не входят в комплект) или сетевой адаптер. С помощью регулятора с таймером можно выбирать мелодии и режим укачивания, менять громкость музыки и ее длительность. Компактное кресло легко складывается, его можно брать с собой в путешествия или поездки на дачу."
Ремонт и строительство,"Автоматические выключатели/
Schneider С25 1п, 25A, 100 руб. 5 шт./
ABB S203 С16 3P, 16A, 450 руб./
ABB S203 С25 3P, 25A, 600 руб./
УЗО /
Schneider ВД63 2п, 25А, 30мА, 800 руб. 2 шт./
Дифференциальный автомат/
IEK АД-12М 2Р С 25А 30мА, 350 руб."
Детская одежда и обувь,"Носили 2 недели, научились в них ходить))) 12 русский размер"
Детская одежда и обувь,"Сапоги для девочки новые р 25 ,внутри мех,"
Предложение услуг,"ВЫПОЛНИМ ВЕСЬ СПЕКТР УСЛУГ НА РЫНКЕ НЕДВИЖИМОСТИ:/
/
- Купли/Продажа жилой недвижимости (в короткие сроки)/
- СРОЧНЫЙ ВЫКУП ЖИЛЬЯ/
- Аренда жилья и коммерческой недвижимости/
- Полное юридическое сопровождение сделок/
- Работа со всеми видами сертификатов/
- Работа с ипотекой всех банков./
/
Наш адрес: Пермский край, город Березники, улица Советская площадь 5, оф.202."
"Одежда, обувь, аксессуары",Новая сумка из эко кожи. Не носили. Маленькая но очень очень вместительная. Ширина 26 высота 20. Кожа иск мягкая . Стоила почти 2000. Цена 800. Срочная продажа
Мебель и интерьер,"Платина золото,4 диодные лампы,эксклюзивный дизайн."
Бытовая техника,"Цена действительна только при условии взаимозачета . Например, вы отдаете старую машинку(холодильник) и мы делаем скидку от 500 до 3000 рублей на нашу машинку или холодильник! /
/
================================================= /
/
LG GA-449BMA1/
/
====================================================== /
/
Основные характеристи:  /
— -Тип: холодильник с морозильником /
— -Расположение: отдельно стоящий /
— -Положение морозильной камеры: снизу /
— -Цвет: белый /
— -Система управления: электронное /
— -Потребление энергии: класс A (337 кВтч/год) /
— -Число копрессоров: 1 /
— -Хладагент: R600a (изобутан) /
— -Число камер: 2 /
— -Число дверей: 2 /
— -Размеры: 59.5x68.3x185 см /
/
====================================================== /
/
Плюсы нашего предложения: /
1. Есть возможность лично убедиться в работоспособности. /
2. Гарантия магазина от 1 месяца + есть возможность самостоятельно выбрать более длительный пакет гарантий (1год или 2 года). /
3. Есть возможность заказать технику удаленно ( по звонку в магазин), Вам предложат различные варианты, как по моделям, так и по цене. /
На сайте представлен не весь ассортимент техники, ежедневно в продажу поступают новые модели!!! /
/
====================================================== /
/
Внимание!!! Доставка осуществляется ежедневно, бесплатно при покупке от 10 тысяч рублей, либо двух единиц техники: например холодильник+стиральная машинка."
Предложение услуг,"Сдаю в аренду Эксковатор-погрузчик ЭО-2101  машиносмена 8 часов./
Возможно по часовая работа./
Наличный расчет - 10000 р/мс./
Безналичный расчет - 12000 р/мс."
Бытовая техника,"продам морозильную камеру бирюса-14с,в отличном состоянии,работает идеально и тихо."
